Code AGB;Code CIQUAL;Groupe d'aliment;Sous-groupe d'aliment;Nom du Produit en Français;LCI Name;DQR;Nom et code;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total
18058;18058;boissons;boissons sans alcool;Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau;Syrup (mint, strawberries flavouredetc.), with sugar diluted in water;2,95;Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau (18058);0,03;0,02;0,03;0,02;0,00;0,00;0,10
18100;18100;boissons;boissons sans alcool;Cacao, non sucré, poudre soluble;Cocoa powder, without sugar, powder, instant, non rehydrated;2,77;Cacao, non sucré, poudre soluble (18100);7,47;19,10;0,10;0,43;0,02;0,00;27,10
18163;18163;boissons;boissons sans alcool;Café au lait ou cappuccino au chocolat, poudre soluble;Coffee with milk or Cappuccino with chocolate, powder, instant, non rehydrated;2,63;Café au lait ou cappuccino au chocolat, poudre soluble (18163);6,60;1,53;0,10;0,18;0,02;0,00;8,43
18160;18160;boissons;boissons sans alcool;Café au lait ou cappuccino, poudre soluble;Coffee with milk or Cappuccino, powder, instant, non rehydrated;2,63;Café au lait ou cappuccino, poudre soluble (18160);6,59;0,98;0,10;0,18;0,02;0,00;7,87
18151;18151;boissons;boissons sans alcool;Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire;Coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink;3,06;Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire (18151);0,39;0,09;0,01;0,01;0,00;0,01;0,50
18072;18072;boissons;boissons sans alcool;Café décaféiné, instantané, non sucré, prêt à boire;Decaffeinated instant coffee, without sugar, ready-to-drink;3,18;Café décaféiné, instantané, non sucré, prêt à boire (18072);1,14;0,51;0,01;0,03;0,00;0,01;1,69
18070;18070;boissons;boissons sans alcool;Café décaféiné, non instantané, non sucré, prêt à boire;Decaffeinated not instant coffee, without sugar, ready-to-drink;3,01;Café décaféiné, non instantané, non sucré, prêt à boire (18070);0,54;0,07;0,01;0,02;0,00;0,01;0,65
18071;18071;boissons;boissons sans alcool;Café expresso, non instantané, non sucré, prêt à boire;Espresso coffee, not instant coffee, without sugar, ready-to-drink;3,01;Café expresso, non instantané, non sucré, prêt à boire (18071);0,54;0,03;0,01;0,02;0,00;0,01;0,60
18069;18069;boissons;boissons sans alcool;Café, décaféiné, poudre soluble;Decaffeinated coffee, powder, instant, non rehydrated;3,49;Café, décaféiné, poudre soluble (18069);19,50;8,65;0,10;0,46;0,02;0,00;28,70
18073;18073;boissons;boissons sans alcool;Café, instantané, non sucré, prêt à boire;Instant coffee, without sugar, ready-to-drink;3,18;Café, instantané, non sucré, prêt à boire (18073);1,14;0,41;0,01;0,03;0,00;0,01;1,59
18003;18003;boissons;boissons sans alcool;Café, moulu;Coffee, ground;3,02;Café, moulu (18003);9,22;0,47;0,10;0,27;0,02;0,00;10,10
18004;18004;boissons;boissons sans alcool;Café, non instantané, non sucré, prêt à boire;Not instant coffee, without sugar, ready-to-drink;3,01;Café, non instantané, non sucré, prêt à boire (18004);0,54;0,03;0,01;0,02;0,00;0,01;0,60
18005;18005;boissons;boissons sans alcool;Café, poudre soluble;Coffee, powder, instant, non rehydrated;3,49;Café, poudre soluble (18005);19,50;7,00;0,10;0,46;0,02;0,00;27,10
5207;5207;boissons;boisson alcoolisées;Champagne;Champagne;3,18;Champagne (5207);0,35;0,04;0,48;0,31;0,04;0,01;1,22
18162;18162;boissons;boissons sans alcool;Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau);Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with water);3,01;Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau) (18162);1,55;0,42;0,18;0,13;0,02;0,00;2,30
18153;18153;boissons;boissons sans alcool;Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard);Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with standard semi-skimmed milk);3,01;Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard) (18153);1,55;0,42;0,18;0,13;0,02;0,00;2,30
18150;18150;boissons;boissons sans alcool;Chicorée et café, poudre soluble;Mix of chicory and coffee, powder, instant, non rehydrated;2,31;Chicorée et café, poudre soluble (18150);8,44;5,13;0,48;0,33;0,02;0,00;14,40
18161;18161;boissons;boissons sans alcool;Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard);Instant chicory, without sugar and artificial sweeteners, ready-to-drink (reconstituted with standard semi-skimmed milk);2,39;Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard) (18161);0,99;0,01;0,18;0,12;0,02;0,00;1,31
18152;18152;boissons;boissons sans alcool;Chicorée, poudre soluble;Chicory, powder, instant;2,74;Chicorée, poudre soluble (18152);0,01;0,08;0,01;0,01;0,00;0,01;0,12
5022;5022;boissons;boisson alcoolisées;Cidre aromatisé (framboise);Flavoured cider;2,89;Cidre aromatisé (framboise) (5022);0,13;0,12;0,48;0,30;0,04;0,01;1,06
5021;5021;boissons;boisson alcoolisées;Cidre bouché demi-sec;Cider, half-dry;2,89;Cidre bouché demi-sec (5021);0,13;0,12;0,48;0,30;0,04;0,01;1,06
5006;5006;boissons;boisson alcoolisées;Cidre brut;Cider, dry;2,89;Cidre brut (5006);0,13;0,12;0,48;0,30;0,04;0,01;1,06
5007;5007;boissons;boisson alcoolisées;Cidre doux;Cider, sweet;2,89;Cidre doux (5007);0,13;0,12;0,48;0,30;0,04;0,01;1,06
5020;5020;boissons;boisson alcoolisées;Cidre traditionnel;Cider;2,89;Cidre traditionnel (5020);0,13;0,12;0,48;0,30;0,04;0,01;1,06
18220;18220;boissons;boissons sans alcool;Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés;Lemon or lime base, for beverage, without sugar (to be diluted);2,41;Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés (18220);0,13;0,04;0,48;0,19;0,02;0,00;0,85
1012;1012;boissons;boisson alcoolisées;Cocktail à base de rhum;Rum-based cocktail;2,65;Cocktail à base de rhum (1012);0,09;0,15;0,48;0,18;0,02;0,01;0,91
1013;1013;boissons;boisson alcoolisées;Cocktail à base de whisky;Whiskey-based cocktail;2,68;Cocktail à base de whisky (1013);0,00;0,22;0,48;0,16;0,02;0,01;0,89
2008;2008;boissons;boisson alcoolisées;Cocktail sans alcool (à base de jus de fruits et de sirop);Cocktail, alcohol-free (juices and syrup-based cocktail);2,29;Cocktail sans alcool (à base de jus de fruits et de sirop) (2008);0,10;0,02;0,48;0,28;0,04;0,01;0,92
1022;1022;boissons;boisson alcoolisées;Cocktail type punch, 16% alcool;Cocktail, punch type, 16% alcohol;2,61;Cocktail type punch, 16% alcool (1022);0,12;0,14;0,48;0,28;0,04;0,01;1,06
18060;18060;boissons;boissons sans alcool;Cola, non sucré, avec édulcorants;Cola, without sugar and with artificial sweetener(s);2,6;Cola, non sucré, avec édulcorants (18060);0,07;0,03;0,18;0,20;0,04;0,01;0,51
18068;18068;boissons;boissons sans alcool;Cola, non sucré, avec édulcorants, sans caféine;Cola, without sugar, with artificial sweetener(s) and with caffeine;2,6;Cola, non sucré, avec édulcorants, sans caféine (18068);0,07;0,03;0,18;0,20;0,04;0,01;0,51
18018;18018;boissons;boissons sans alcool;Cola, sucré;Cola, with sugar;2,6;Cola, sucré (18018);0,07;0,03;0,18;0,20;0,04;0,01;0,51
18037;18037;boissons;boissons sans alcool;Cola, sucré, avec édulcorants;Cola, with sugar and artificial sweetener(s);2,6;Cola, sucré, avec édulcorants (18037);0,07;0,03;0,18;0,20;0,04;0,01;0,51
18067;18067;boissons;boissons sans alcool;Cola, sucré, sans caféine;Cola, with sugar and without caffeine;2,6;Cola, sucré, sans caféine (18067);0,07;0,03;0,18;0,20;0,04;0,01;0,51
1021;1021;boissons;boisson alcoolisées;Crème de cassis;Blackcurrant liqueur;2,97;Crème de cassis (1021);0,71;0,09;0,48;0,18;0,02;0,01;1,48
18039;18039;boissons;boissons sans alcool;Diabolo (limonade et sirop);Lemonade with a flavoured syrup;2,31;Diabolo (limonade et sirop) (18039);0,09;0,05;0,18;0,20;0,04;0,01;0,56
76080;76080;boissons;eaux;Eau de source Cristaline, embouteillée, non gazeuse;Spring still water (Cristaline), bottled;2,97;Eau de source Cristaline, embouteillée, non gazeuse (76080);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76028;76028;boissons;eaux;Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64);Spring water (Ogeu), bottled, lightly mineralized;2,97;Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64) (76028);0,00;0,00;0,14;0,10;0,02;0,00;0,27
1001;1001;boissons;boisson alcoolisées;Eau de vie;Clear fruit brandy or eau-de-vie;3,3;Eau de vie (1001);0,01;0,44;0,48;0,18;0,02;0,00;1,11
1023;1023;boissons;boisson alcoolisées;Eau de vie de vin, type armagnac, cognac;Spirit made from wine, armagnac or cognac type;3,29;Eau de vie de vin, type armagnac, cognac (1023);0,01;0,44;0,48;0,18;0,02;0,01;1,12
18430;18430;boissons;eaux;Eau embouteillée de source;Water, bottled;2,51;Eau embouteillée de source (18430);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76000;76000;boissons;eaux;Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33);Mineral still water (Abatilles), bottled, lightly mineralized;2,97;Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33) (76000);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76001;76001;boissons;eaux;Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73);Mineral still water (Aix-les-Bains), bottled, lightly mineralized;2,97;Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73) (76001);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76002;76002;boissons;eaux;Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07);Mineral sparkling water (Aziac), bottled, lightly mineralized;3,01;Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07) (76002);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76004;76004;boissons;eaux;Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59);Mineral still water (Amanda), bottled, strongly mineralized;2,97;Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59) (76004);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76079;76079;boissons;eaux;Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne);Mineral still water (Appollinaris), bottled, strongly mineralized;2,97;Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne) (76079);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76006;76006;boissons;eaux;Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07);Mineral sparkling water (Arcens), bottled, averagely mineralized;3,01;Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07) (76006);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76007;76007;boissons;eaux;Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63);Mineral sparkling water (Ardesy), bottled, strongly mineralized;3,01;Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63) (76007);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76062;76062;boissons;eaux;Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce);Mineral still water (Avra), bottled, lightly mineralized;2,97;Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce) (76062);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76061;76061;boissons;eaux;Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42);Mineral sparkling water (Badoit), bottled, averagely mineralized;3,01;Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42) (76061);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76063;76063;boissons;eaux;Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg);Mineral still water (Beckerich), bottled, lightly mineralized;2,97;Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg) (76063);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76081;76081;boissons;eaux;Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40);Mineral still water (Biovive), bottled, lightly mineralized;2,97;Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40) (76081);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76100;76100;boissons;eaux;Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68);Water, mineral, carbonated ou non-carbonated, CAROLA;2,97;Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68) (76100);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76010;76010;boissons;eaux;Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67);Mineral still water (Celtic), bottled, very lightly mineralized;2,97;Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67) (76010);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76011;76011;boissons;eaux;Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45);Mineral still water (Chambon), bottled, lightly mineralized;2,97;Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45) (76011);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76012;76012;boissons;eaux;Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07);Mineral still water (Chantemerle), bottled, lightly mineralized;2,97;Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07) (76012);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76013;76013;boissons;eaux;Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63);Mineral sparkling water (Chateauneuf), bottled, strongly mineralized;3,01;Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63) (76013);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76014;76014;boissons;eaux;Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63);Mineral sparkling water (Chateldon), bottled, strongly mineralized;3,01;Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63) (76014);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76065;76065;boissons;eaux;Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique);Mineral still water (Chaudfontaine), bottled, lightly mineralized;2,97;Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique) (76065);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76066;76066;boissons;eaux;Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne);Mineral still water (Christinen Brunnen), bottled, averagely mineralized;2,97;Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne) (76066);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76083;76083;boissons;eaux;Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974);Mineral sparkling water (Cilaos), bottled, strongly mineralized;3,01;Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974) (76083);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76015;76015;boissons;eaux;Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59);Mineral still water (Clos de l'Abbaye), bottled, averagely mineralized;2,97;Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59) (76015);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76016;76016;boissons;eaux;Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88);Mineral still water (Contrex), bottled, strongly mineralized;2,97;Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88) (76016);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76067;76067;boissons;eaux;Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie);Mineral still water (Courmayer), bottled, strongly mineralized;2,97;Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie) (76067);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76017;76017;boissons;eaux;Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40);Mineral still water (Dax), bottled, averagely mineralized;2,97;Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40) (76017);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76019;76019;boissons;eaux;Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique);Mineral still water (Didier), bottled, strongly mineralized;2,97;Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique) (76019);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76018;76018;boissons;eaux;Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique);Mineral sparkling water (Didier), bottled, strongly mineralized;3,01;Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique) (76018);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76102;76102;boissons;eaux;Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse);Water, mineral, non-carbonated, EDEN;2,97;Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse) (76102);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76020;76020;boissons;eaux;Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74);Mineral still water (Evian), bottled, lightly mineralized;2,97;Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74) (76020);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76022;76022;boissons;eaux;Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88);Mineral still water (Hépar), bottled, strongly mineralized;2,97;Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88) (76022);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76023;76023;boissons;eaux;Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63);Mineral sparkling water (Hydroxydase), bottled, strongly mineralized;3,01;Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63) (76023);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76082;76082;boissons;eaux;Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34);Mineral still water (La Cairolle), bottled, strongly mineralized;2,97;Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34) (76082);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76085;76085;boissons;eaux;Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26);Mineral still water (La Française), bottled, strongly mineralized;2,97;Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26) (76085);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76069;76069;boissons;eaux;Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie);Mineral still water (Levissima), bottled, lightly mineralized;2,97;Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie) (76069);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76025;76025;boissons;eaux;Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31);Mineral still water (Luchon), bottled, lightly mineralized;2,97;Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31) (76025);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76070;76070;boissons;eaux;Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);Mineral still water (Luso), bottled, very lightly mineralized;2,97;Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal) (76070);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76101;76101;boissons;eaux;Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie);Water, mineral, non-carbonated, MONT-BLANC;2,97;Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie) (76101);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76086;76086;boissons;eaux;Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09);Mineral still water (Montcalm), bottled, very lightly mineralized;2,97;Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09) (76086);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76087;76087;boissons;eaux;Eau minérale Montclar, embouteillée, non gazeuse, faiblement minéralisée (Montclar, 04);Mineral still water (Montclar), bottled, lightly mineralized;2,97;Eau minérale Montclar, embouteillée, non gazeuse, faiblement minéralisée (Montclar, 04) (76087);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76027;76027;boissons;eaux;Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81);Mineral water (Mont-Roucous, bottled, very lightly mineralized;2,97;Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81) (76027);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76071;76071;boissons;eaux;Eau minérale Néro, embouteillée, non gazeuse, faiblement minéralisée (Grèce);Mineral still water (Néro), bottled, lightly mineralized;2,97;Eau minérale Néro, embouteillée, non gazeuse, faiblement minéralisée (Grèce) (76071);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76088;76088;boissons;eaux;Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68);Mineral sparkling water (Nessel), bottled, averagely mineralized;3,01;Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68) (76088);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76089;76089;boissons;eaux;Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64);Mineral sparkling water (Ogeu), bottled, lightly mineralized;3,01;Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64) (76089);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76090;76090;boissons;eaux;Eau minérale Ogeu, embouteillée, non gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64);Mineral still water (Ogeu), bottled, lightly mineralized;2,97;Eau minérale Ogeu, embouteillée, non gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64) (76090);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76029;76029;boissons;eaux;Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59);Mineral still water (Orée du bois), bottled, averagely mineralized;2,97;Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59) (76029);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76030;76030;boissons;eaux;Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B);Mineral sparkling water (Orezza), bottled, averagely mineralized;3,01;Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B) (76030);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76031;76031;boissons;eaux;Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42);Mineral sparkling water (Parot), bottled, averagely mineralized;3,01;Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42) (76031);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76072;76072;boissons;eaux;Eau minérale Penacova, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);Mineral still water (Penacova), bottled, very lightly mineralized;2,97;Eau minérale Penacova, embouteillée, non gazeuse, très faiblement minéralisée (Portugal) (76072);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76060;76060;boissons;eaux;Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30);Mineral sparkling water (Perrier), bottled, lightly mineralized;3,01;Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30) (76060);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76032;76032;boissons;eaux;Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22);Mineral still water (Plancoet), bottled, lightly mineralized;2,97;Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22) (76032);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76091;76091;boissons;eaux;Eau minérale Prince Noir, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82);Mineral still water (Prince Noir), bottled, strongly mineralized;2,97;Eau minérale Prince Noir, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82) (76091);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76033;76033;boissons;eaux;Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26);Mineral still water (Propiac), bottled, strongly mineralized;2,97;Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26) (76033);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76034;76034;boissons;eaux;Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42);Mineral sparkling water (Puits St Georges), bottled, averagely mineralized;3,01;Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42) (76034);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76035;76035;boissons;eaux;Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48);Mineral sparkling water (Quézac), bottled, averagely mineralized;3,01;Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48) (76035);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76036;76036;boissons;eaux;Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07);Mineral sparkling water (Reine des basaltes), bottled, averagely mineralized;3,01;Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07) (76036);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76037;76037;boissons;eaux;Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63);Mineral sparkling water (Rozana), bottled, strongly mineralized;3,01;Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63) (76037);0,00;0,00;0,14;0,10;0,02;0,00;0,27
76038;76038;boissons;eaux;Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42);Mineral still water (Sail-les-Bains), bottled, lightly mineralized;2,97;Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42) (76038);0,00;0,00;0,14;0,10;0,02;0,00;0,27
